Title,Description,Amount(in rupees),Price (in rupees),location,Carpet Area,Status,Floor,Transaction,Furnishing,facing,overlooking,Society,Bathroom,Balcony,Car Parking,Ownership,Super Area,Dimensions,Plot Area,Index
3 BHK Flat for Sale in Andheri West Mumbai,"Spacious property with modern amenities, close to schools and markets.",78.5 Lac,78.5 Lac,Andheri West Mumbai,680 sqft,Ready to Move,14 out of 18,New Property,Unfurnished,South-West,Club,Royal Enclave Residency,4.0,2.0,,Power Of Attorney,,,,0
2 BHK Flat for Sale in Andheri West Mumbai,"Spacious property with modern amenities, close to schools and markets.",88.5 Lac,88.5 Lac,Andheri West Mumbai,721 sqft,Ready to Move,2 out of 2,New Property,Furnished,South,Garden/Park,,3.0,2.0,1.0,Co-operative Society,870 sqft,,,1
3 BHK Flat for Sale in Vaishali Ghaziabad,"Spacious property with modern amenities, close to schools and markets.",1.1 Cr,1.1 Cr,Vaishali Ghaziabad,793 sqft,Under Construction,2 out of 8,New Property,Furnished,South-West,,Orchid Residency,2.0,2.0,1.0,Power Of Attorney,870 sqft,,,2
1 BHK Flat for Sale in Baner Pune,"Spacious property with modern amenities, close to schools and markets.",2.02 Cr,2.02 Cr,Baner Pune,122 sqm,Ready to Move,9 out of 12,New Property,Furnished,South,Club,,3.0,3.0,2.0,Leasehold,1380 sqft,,,3
4 BHK Flat for Sale in Kharadi Pune,"Spacious property with modern amenities, close to schools and markets.",1.92 Cr,1.92 Cr,Kharadi Pune,1493 sqft,Ready to Move,5 out of 24,Resale,Furnished,,Main Road,Orchid Residency,3.0,1.0,1.0,Co-operative Society,,,,4
4 BHK Flat for Sale in Miyapur Hyderabad,"Spacious property with modern amenities, close to schools and markets.",98.2 Lac,98.2 Lac,Miyapur Hyderabad,1045 sqft,Ready to Move,14 out of 19,New Property,Unfurnished,South,Pool,Palm Grove Residency,3.0,0.0,0.0,Leasehold,,,,5
4 BHK Flat for Sale in Rajarhat Kolkata,"Spacious property with modern amenities, close to schools and markets.",49.4 Lac,49.4 Lac,Rajarhat Kolkata,44 sqm,Ready to Move,3 out of 11,Resale,Furnished,East,Garden/Park,Orchid Residency,2.0,1.0,2.0,Power Of Attorney,615 sqft,,,6
3 BHK Flat for Sale in Thane West Mumbai,"Spacious property with modern amenities, close to schools and markets.",1.34 Cr,1.34 Cr,Thane West Mumbai,123 sqm,Ready to Move,7 out of 16,Resale,Semi-Furnished,South-West,Garden/Park,Palm Grove Residency,2.0,1.0,2.0,Leasehold,1667 sqft,,,7
2 BHK Flat for Sale in Kondapur Hyderabad,"Spacious property with modern amenities, close to schools and markets.",39.4 Lac,39.4 Lac,Kondapur Hyderabad,56 sqm,Under Construction,9 out of 15,New Property,Furnished,West,Pool,,1.0,1.0,1.0,Leasehold,776 sqft,,,8
2 BHK Flat for Sale in HSR Layout Bangalore,"Spacious property with modern amenities, close to schools and markets.",1.95 Cr,1.95 Cr,HSR Layout Bangalore,1334 sqft,Ready to Move,8 out of 9,Resale,Unfurnished,East,Main Road,Sunrise Residency,2.0,1.0,0.0,Co-operative Society,1574 sqft,,,9
3 BHK Flat for Sale in Indiranagar Bangalore,"Spacious property with modern amenities, close to schools and markets.",1.43 Cr,1.43 Cr,Indiranagar Bangalore,88 sqm,Ready to Move,7 out of 8,Resale,Semi-Furnished,,Main Road,,1.0,,1.0,Power Of Attorney,1007 sqft,,,10
